mutation_rate,chromosome_length,maze_type,instance_seed,trial_seed,success,iterations,path_length,optimal_length,path_optimality,mean_entropy
0.1,160,U-Trap,1,1006,False,610,108,61,1.7704918032786885,5.429960464345739
0.3,80,U-Trap,1,1000,False,610,49,61,0.8032786885245902,5.301297820878289
0.3,80,U-Trap,1,1001,False,610,49,61,0.8032786885245902,5.292278222516214
0.1,160,U-Trap,1,1008,False,610,101,61,1.6557377049180328,5.411104800409894
0.1,160,U-Trap,1,1009,False,610,108,61,1.7704918032786885,5.396096788111265
0.3,80,U-Trap,1,1002,False,610,54,61,0.8852459016393442,5.293335090405507
0.3,80,U-Trap,1,1004,False,610,57,61,0.9344262295081968,5.282322639573067
0.3,80,U-Trap,1,1003,False,610,59,61,0.9672131147540983,5.297771628254629
0.3,80,U-Trap,1,1005,False,610,52,61,0.8524590163934426,5.304424249256417
0.3,80,U-Trap,1,1006,False,610,54,61,0.8852459016393442,5.258175511542986
0.3,80,U-Trap,1,1007,False,610,56,61,0.9180327868852459,5.278086677429282
0.3,80,U-Trap,1,1008,False,610,56,61,0.9180327868852459,5.312297452032923
0.3,80,U-Trap,1,1009,False,610,56,61,0.9180327868852459,5.27544380351033
0.3,160,U-Trap,1,1000,False,610,96,61,1.5737704918032787,5.444894521729882
0.3,160,U-Trap,1,1002,False,610,117,61,1.9180327868852458,5.446032447955134
0.3,160,U-Trap,1,1001,False,610,102,61,1.6721311475409837,5.425370300411313
0.3,160,U-Trap,1,1003,False,610,113,61,1.8524590163934427,5.453827345499665
0.3,160,U-Trap,1,1005,False,610,116,61,1.901639344262295,5.442753759430544
0.3,160,U-Trap,1,1004,False,610,101,61,1.6557377049180328,5.442011247133334
0.3,160,U-Trap,1,1006,False,610,104,61,1.7049180327868851,5.445945673362842
0.3,160,U-Trap,1,1007,False,610,111,61,1.819672131147541,5.463663411073434
0.3,160,U-Trap,1,1008,False,610,102,61,1.6721311475409837,5.438699815831659
0.3,160,U-Trap,1,1009,False,610,93,61,1.5245901639344261,5.426434271722079
