maze_type,pop_size,metric,algo_a,algo_b,u,p_raw,p_holm,rank_biserial,n_a,n_b,note
Shortest Path Trap,50,iterations,GA,ACO,10000.0,2.1978570256330794e-34,4.6076746338274324e-33,1.0,100,100,
Shortest Path Trap,50,iterations,PSO,ACO,7205.5,7.124451597395123e-08,5.699561277916098e-07,0.44110000000000005,100,100,
Shortest Path Trap,50,diversity_floor,GA,PSO,0.0,6.404050091913346e-36,1.6010125229783366e-34,-1.0,100,100,
Shortest Path Trap,50,diversity_floor,GA,ACO,0.0,6.40484401435336e-36,1.6010125229783366e-34,-1.0,100,100,
Shortest Path Trap,50,diversity_floor,PSO,ACO,4456.0,0.1841530033358305,0.368306006671661,-0.10880000000000001,100,100,
Shortest Path Trap,50,mean_entropy,GA,PSO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Shortest Path Trap,50,mean_entropy,GA,ACO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Shortest Path Trap,50,mean_entropy,PSO,ACO,2590.0,3.9244769303010725e-09,7.848953860602145e-09,-0.482,100,100,
Shortest Path Trap,50,path_optimality,GA,PSO,,,,,0,100,insufficient n
Shortest Path Trap,50,path_optimality,GA,ACO,,,,,0,100,insufficient n
Shortest Path Trap,50,path_optimality,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Shortest Path Trap,50,time_to_half_entropy,GA,PSO,,,,,100,0,insufficient n
Shortest Path Trap,50,time_to_half_entropy,GA,ACO,,,,,100,0,insufficient n
Shortest Path Trap,50,time_to_half_entropy,PSO,ACO,,,,,0,0,insufficient n
Shortest Path Trap,150,success_overall,GA,PSO,0.0,3.521615882394601e-45,9.508362882465422e-44,-1.0,100,100,
Shortest Path Trap,150,success_overall,GA,ACO,0.0,3.521615882394601e-45,9.508362882465422e-44,-1.0,100,100,
Shortest Path Trap,150,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Shortest Path Trap,150,iterations,GA,PSO,10000.0,2.1994736454710628e-34,4.6076746338274324e-33,1.0,100,100,
Shortest Path Trap,150,iterations,GA,ACO,10000.0,2.194130778013063e-34,4.6076746338274324e-33,1.0,100,100,
Shortest Path Trap,150,iterations,PSO,ACO,6402.0,0.0006152754647822088,0.0025688481696147566,0.2804,100,100,
Shortest Path Trap,150,diversity_floor,GA,PSO,0.0,1.8860056989713232e-34,4.3375667720706915e-33,-1.0,100,100,
Shortest Path Trap,150,diversity_floor,GA,ACO,0.0,1.8858985965524745e-34,4.3375667720706915e-33,-1.0,100,100,
Shortest Path Trap,150,diversity_floor,PSO,ACO,3492.0,0.00023013444392657454,0.0018410755514125963,-0.3016,100,100,
Shortest Path Trap,150,mean_entropy,GA,PSO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Shortest Path Trap,150,mean_entropy,GA,ACO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Shortest Path Trap,150,mean_entropy,PSO,ACO,2428.0,3.317283005232456e-10,9.951849015697367e-10,-0.5144,100,100,
Shortest Path Trap,150,path_optimality,GA,PSO,,,,,0,100,insufficient n
Shortest Path Trap,150,path_optimality,GA,ACO,,,,,0,100,insufficient n
Shortest Path Trap,150,path_optimality,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Shortest Path Trap,150,time_to_half_entropy,GA,PSO,,,,,100,0,insufficient n
Shortest Path Trap,150,time_to_half_entropy,GA,ACO,,,,,100,0,insufficient n
Shortest Path Trap,150,time_to_half_entropy,PSO,ACO,,,,,0,0,insufficient n
Sudden Wall,20,success_overall,GA,PSO,2100.0,1.9852713755401547e-19,4.169069888634325e-18,-0.5800000000000001,100,100,
Sudden Wall,20,success_overall,GA,ACO,2100.0,1.9852713755401547e-19,4.169069888634325e-18,-0.5800000000000001,100,100,
Sudden Wall,20,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Sudden Wall,20,iterations,GA,PSO,8206.0,4.714224115812279e-15,5.185646527393507e-14,0.6412,100,100,
Sudden Wall,20,iterations,GA,ACO,8337.0,3.5051571364407886e-16,4.206188563728946e-15,0.6674,100,100,
Sudden Wall,20,iterations,PSO,ACO,6305.5,0.0014290690461061357,0.0042872071383184066,0.2611000000000001,100,100,
Sudden Wall,20,diversity_floor,GA,PSO,87.0,2.607440590939992e-33,5.214881181879984e-32,-0.9826,100,100,
Sudden Wall,20,diversity_floor,GA,ACO,39.0,6.5707636764897395e-34,1.3798603720628452e-32,-0.9922,100,100,
Sudden Wall,20,diversity_floor,PSO,ACO,6332.5,0.0010981125502496946,0.006588675301498167,0.26649999999999996,100,100,
Sudden Wall,20,mean_entropy,GA,PSO,164.0,3.2652185994749996e-32,4.244784179317499e-31,-0.9672,100,100,
Sudden Wall,20,mean_entropy,GA,ACO,0.0,2.5621436691634012e-34,6.917008584592418e-33,-1.0,100,100,
Sudden Wall,20,mean_entropy,PSO,ACO,815.0,1.5424214300642531e-24,1.3881792870578277e-23,-0.837,100,100,
Sudden Wall,20,path_optimality,GA,PSO,2100.0,1.0,1.0,0.0,42,100,
Sudden Wall,20,path_optimality,GA,ACO,2100.0,1.0,1.0,0.0,42,100,
Sudden Wall,20,path_optimality,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Sudden Wall,20,time_to_half_entropy,GA,PSO,,,,,95,2,insufficient n
Sudden Wall,20,time_to_half_entropy,GA,ACO,,,,,95,1,insufficient n
Sudden Wall,20,time_to_half_entropy,PSO,ACO,,,,,2,1,insufficient n
Sudden Wall,50,success_overall,GA,PSO,2350.0,2.4785184825275012e-17,4.709185116802253e-16,-0.53,100,100,
Sudden Wall,50,success_overall,GA,ACO,2350.0,2.4785184825275012e-17,4.709185116802253e-16,-0.53,100,100,
Sudden Wall,50,success_overall,PSO,ACO,5000.0,1.0,1.0,0.0,100,100,
Sudden Wall,50,iterations,GA,PSO,7384.0,5.700008763787843e-09,5.130007887409058e-08,0.4767999999999999,100,100,
Sudden Wall,50,iterations,GA,ACO,7653.0,9.000923402111556e-11,9.000923402111557e-10,0.5306,100,100,
