algo,maze_type,pop_size,instance_seed,trial_seed,success_overall,success_postdisruption,iterations,path_length,optimal_length,path_optimality,time_to_half_entropy,diversity_floor,mean_entropy,adaptation_time,entropy_history
PSO,Parallel Paths,150,1,42,True,True,82,82,78,1.0512820512820513,,0.9558222797306772,1.1085988809875347,,"[0.7478061583312325, 0.9052597412751415, 0.9052597412751415, 1.2143843685422668, 1.4103986962098436, 1.075050860917745, 1.4621032369908777, 1.4407481135384101, 0.9558222797306772, 0.9691556130640107]"
ACO,Shortest Path Trap,20,1,42,True,True,228,170,170,1.0,,4.321928094887363,3.550097832209373,,"[0.0, 2.503701696057348, 3.246439344671016, 3.0414460711655216, 3.0414460711655216, 3.3841837197791884, 3.721928094887362, 3.721928094887362, 3.621928094887362, 3.621928094887362, 3.621928094887362, 3.721928094887362, 3.721928094887362, 3.6841837197791882, 3.721928094887362, 3.8219280948873617, 4.021928094887362, 4.221928094887362, 4.1219280948873624, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.321928094887363]"
ACO,Shortest Path Trap,50,1,42,True,True,188,170,170,1.0,,5.2287584397314575,3.815835609822289,,"[0.0, 2.5630986752200977, 3.1428246923615064, 3.136721855498389, 3.176721855498389, 3.7056040021098577, 3.970506252066588, 4.042699061555324, 4.122699061555325, 4.082699061555324, 4.107601311512055, 4.147601311512056, 4.322699061555325, 4.3377968115985945, 4.322699061555325, 4.322699061555325, 4.7059791299831035, 5.0614678801994515, 5.2287584397314575]"
ACO,Shortest Path Trap,150,1,42,True,True,202,170,170,1.0,,6.258386107478287,4.603581522346108,,"[0.0, 2.5822170084058307, 3.3628599611223455, 3.590405739990885, 3.7220020473206796, 4.128520627574228, 4.574702342047199, 4.656564410675151, 4.829059763881334, 4.758352411236092, 4.860759013895757, 4.981424783696488, 4.999124930576846, 5.165256160833806, 5.186052264025563, 5.239213387032478, 5.540674216570169, 5.905490558636645, 6.18584887733671, 6.148297356931772, 6.258386107478287]"
ACO,Sudden Wall,20,1,42,True,True,486,400,400,1.0,,2.795461844238322,3.8517365895206215,0,"[0.0, 0.9927744539878083, 1.5394910703001345, 2.4709505944546684, 3.446439344671015, 3.7841837197791883, 3.621928094887362, 3.7841837197791888, 3.621928094887362, 3.6841837197791887, 3.308694969562842, 3.746439344671015, 4.1219280948873624, 4.321928094887363, 4.221928094887362, 4.1219280948873624, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.221928094887362, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.321928094887363, 4.084183719779189, 4.321928094887363, 4.221928094887362, 4.1219280948873624, 4.1219280948873624, 4.221928094887362, 4.021928094887362, 3.208694969562842, 2.795461844238322]"
ACO,Sudden Wall,50,1,42,True,True,518,400,400,1.0,,3.161928094887361,4.50682361643037,0,"[0.0, 1.0, 1.4994227679976009, 2.47812567371036, 3.6211476315793787, 4.161076880026371, 4.161076880026371, 3.973340441068115, 4.276565630242719, 4.208884070537636, 4.033269689515107, 4.533340441068116, 4.798562939644917, 5.0687584397314565, 4.918562939644917, 4.968367439558378, 5.123856189774725, 5.308758439731456, 5.053660689688186, 5.2287584397314575, 5.213660689688187, 5.348758439731458, 5.363856189774728, 5.348758439731458, 5.243856189774726, 5.253660689688188, 5.283856189774728, 5.243856189774728, 5.363856189774728, 5.443856189774727, 5.483856189774728, 5.323856189774728, 5.2287584397314575, 5.173660689688188, 5.1736606896881865, 4.926370130156181, 4.966370130156181, 5.158562939644919, 5.1487584397314565, 4.9414678801994505, 4.466644113014771, 4.949275070710714, 5.103465189601648, 5.1087584397314565, 5.078562939644916, 5.123856189774725, 4.846370130156181, 3.7813508628849615, 3.161928094887361, 3.201928094887361, 3.2419280948873612, 3.2419280948873612]"
GA,Shortest Path Trap,20,1,42,False,False,1700,77,170,0.45294117647058824,10,0.0,0.06629393643641374,,"[2.395461844238322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.28639695711595625, 0.28639695711595625, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.28639695711595625, 0.0, 0.28639695711595625, 0.0, 0.0, 0.0, 0.0, 0.5689955935892812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ACO,Parallel Paths,20,1,42,True,True,82,82,78,1.0512820512820513,,3.484183719779189,2.4965408722280182,,"[0.0, 2.019240704636849, 2.119240704636849, 2.4192407046368487, 2.3192407046368486, 3.2393538721672006, 3.384183719779189, 3.484183719779189, 3.484183719779189]"
ACO,Parallel Paths,50,1,42,True,True,78,78,78,1.0,,4.330588424185782,2.6708014477028854,,"[0.0, 1.8983167441613242, 2.2113464332493886, 2.5766396833791965, 2.6317374334224657, 3.577389939125683, 4.140392924099244, 4.330588424185782]"
ACO,Parallel Paths,150,1,42,True,True,78,78,78,1.0,,5.0187553501543345,3.0262022247143716,,"[0.0, 2.1133165014514055, 2.530547185054509, 2.6828833302520505, 2.9356576433246757, 4.124646270124903, 4.803811517353095, 5.0187553501543345]"
