algo,maze_type,pop_size,instance_seed,trial_seed,success_overall,success_postdisruption,iterations,path_length,optimal_length,path_optimality,time_to_half_entropy,diversity_floor,mean_entropy,adaptation_time,entropy_history
GA,U-Trap,20,1,1006,False,False,610,77,61,1.2622950819672132,320,1.3917601481809734,2.8913253056862733,,"[3.884183719779189, 3.065957320949175, 3.384183719779189, 2.908694969562842, 2.5609640474436812, 2.560964047443681, 2.460964047443681, 3.1393538721672005, 1.9709505944546688, 3.6841837197791887, 3.2841837197791888, 3.746439344671015, 3.0282129458410014, 2.65887184844536, 3.2659573209491746, 3.003701696057348, 2.9414460711655215, 2.739353872167201, 3.484183719779189, 3.1659573209491745, 3.3393538721672007, 2.3232196723355076, 2.9016094970590274, 2.55887184844536, 2.8232196723355076, 3.884183719779189, 2.8638651219508535, 2.6016094970590276, 2.7841837197791888, 2.1814963295286756, 2.9016094970590274, 2.701609497059027, 1.3917601481809734, 2.9464393446710155, 2.219240704636849, 3.046439344671015, 1.9166422780956522, 2.821928094887362, 3.403701696057348, 3.046439344671015, 3.121928094887362, 3.0609640474436812, 2.939353872167201, 2.3232196723355076, 3.1659573209491745, 2.8232196723355076, 3.2037016960573483, 2.8659573209491747, 3.303701696057348, 2.960964047443681, 3.108694969562842, 2.8659573209491747, 2.795461844238322, 3.7841837197791888, 2.763865121950854, 3.046439344671015, 3.1659573209491745, 1.9166422780956522, 2.395461844238322, 3.346439344671015, 1.8166422780956524]"
GA,U-Trap,20,1,1007,False,False,610,63,61,1.0327868852459017,,2.019973094021975,2.983999074625392,,"[3.5414460711655216, 3.3841837197791893, 2.7841837197791888, 2.721928094887362, 3.208694969562842, 2.6841837197791887, 2.795461844238322, 3.065957320949175, 2.939353872167201, 3.303701696057348, 2.1814963295286756, 3.1464393446710153, 3.046439344671015, 3.139353872167201, 2.660964047443681, 3.721928094887362, 3.384183719779189, 3.021928094887362, 3.4841837197791885, 2.019973094021975, 2.795461844238322, 3.3037016960573484, 3.503701696057348, 3.403701696057348, 2.665957320949175, 3.6841837197791887, 2.5609640474436812, 2.795461844238322, 2.6016094970590276, 2.863865121950854, 2.628212945841001, 2.7659573209491746, 3.1464393446710153, 2.9282129458410013, 2.9016094970590274, 3.0414460711655216, 3.108694969562842, 2.463865121950854, 2.660964047443681, 2.484183719779189, 2.295461844238322, 2.6219280948873624, 2.621928094887362, 3.4219280948873623, 2.5086949695628418, 2.6464393446710153, 3.5414460711655216, 2.4954618442383216, 3.103701696057348, 3.721928094887362, 2.070950594454669, 2.7841837197791888, 3.384183719779189, 3.403701696057348, 3.721928094887362, 2.695461844238322, 3.1841837197791887, 3.084183719779189, 3.5841837197791886, 3.2841837197791888, 3.303701696057348]"
GA,U-Trap,20,1,1009,False,False,610,59,61,0.9672131147540983,200,1.2917601481809733,2.9386305159708708,,"[3.884183719779189, 3.208694969562842, 3.6841837197791887, 2.595461844238322, 2.9659573209491747, 3.4414460711655215, 2.1814963295286756, 3.341446071165522, 2.7464393446710154, 3.2464393446710154, 3.3464393446710154, 3.0464393446710156, 3.303701696057348, 2.921928094887362, 2.260964047443681, 2.8709505944546687, 2.8393538721672007, 2.9414460711655215, 3.2464393446710154, 3.0219280948873624, 1.2917601481809733, 1.4567796494470395, 3.2393538721672006, 2.2567796494470396, 2.6219280948873624, 2.765957320949175, 3.3464393446710154, 2.319240704636849, 3.2464393446710154, 3.4841837197791885, 3.246439344671015, 3.108694969562842, 2.384183719779189, 3.101609497059027, 3.108694969562842, 2.9841837197791885, 2.765957320949175, 2.5609640474436812, 3.039353872167201, 3.101609497059027, 3.2659573209491746, 3.141446071165521, 3.4841837197791885, 3.0709505944546684, 3.2659573209491746, 2.970950594454669, 1.3917601481809734, 3.303701696057348, 3.4219280948873623, 2.695461844238322, 3.484183719779189, 3.484183719779189, 3.0086949695628418, 2.6841837197791887, 2.1854752972273346, 3.721928094887362, 2.695461844238322, 2.6464393446710153, 3.0219280948873624, 2.3016094970590273, 3.4841837197791885]"
GA,U-Trap,20,2,2007,True,True,88,101,53,1.9056603773584906,,2.319240704636849,3.1061618937400173,,"[4.021928094887362, 2.319240704636849, 3.2464393446710154, 3.1659573209491745, 2.821928094887362, 3.003701696057348, 2.795461844238322, 3.4414460711655215, 3.139353872167201]"
GA,U-Trap,20,2,2009,False,False,530,55,53,1.0377358490566038,160,1.6166422780956526,2.743312922089233,,"[3.5414460711655216, 3.1414460711655217, 3.4219280948873623, 3.303701696057348, 3.421928094887362, 3.2414460711655213, 1.8854752972273343, 1.5567796494470394, 3.3464393446710154, 3.5414460711655216, 2.765957320949175, 2.4192407046368487, 2.460964047443681, 3.5841837197791886, 2.6841837197791887, 2.7588718484453603, 3.0219280948873624, 2.070950594454669, 2.4192407046368487, 3.8841837197791884, 2.7841837197791883, 3.4219280948873623, 2.1814963295286756, 2.521928094887362, 3.2393538721672006, 2.1709505944546685, 2.181496329528675, 2.5609640474436812, 3.5219280948873624, 2.5577174691301483, 3.039353872167201, 2.795461844238322, 3.0841837197791886, 3.446439344671015, 3.0709505944546684, 1.842737648613667, 2.5577174691301483, 3.2841837197791888, 1.7166422780956525, 2.795461844238322, 3.039353872167201, 2.1709505944546685, 2.695461844238322, 1.9166422780956522, 1.6166422780956526, 2.6841837197791887, 2.319240704636849, 2.460964047443681, 2.665957320949175, 2.9232196723355077, 1.9709505944546688, 2.181496329528675, 3.503701696057348]"
GA,U-Trap,20,3,3000,False,False,550,80,55,1.4545454545454546,20,1.4567796494470395,2.490983858712207,,"[3.408694969562842, 2.319240704636849, 2.695461844238322, 2.2149798205164815, 3.0016094970590275, 2.019240704636849, 3.1841837197791887, 2.070950594454669, 2.460964047443681, 3.0709505944546684, 2.728212945841001, 3.2037016960573483, 3.1464393446710153, 2.660964047443681, 2.3577174691301486, 1.9166422780956522, 2.1709505944546685, 1.9166422780956522, 1.6567796494470395, 2.319240704636849, 2.695461844238322, 2.2192407046368485, 1.9709505944546688, 3.039353872167201, 1.8166422780956524, 2.908694969562842, 1.3917601481809734, 2.4232196723355077, 2.3232196723355076, 3.039353872167201, 2.2192407046368485, 2.4192407046368487, 2.3192407046368486, 2.795461844238322, 3.5464393446710156, 3.3464393446710154, 1.4567796494470395, 1.9166422780956522, 2.3192407046368486, 1.7166422780956525, 2.1709505944546685, 3.2659573209491746, 3.3414460711655214, 1.8332062193464953, 2.6577174691301484, 2.4954618442383216, 1.6788979029874789, 2.5609640474436812, 1.5567796494470396, 2.9659573209491747, 3.3464393446710154, 3.0219280948873624, 3.0086949695628418, 2.1709505944546685, 2.5219280948873624]"
GA,U-Trap,20,3,3002,True,True,33,129,55,2.3454545454545452,,3.2464393446710154,3.4558754384480586,,"[3.746439344671015, 3.3464393446710154, 3.2464393446710154, 3.484183719779189]"
GA,U-Trap,20,2,2003,False,False,530,74,53,1.3962264150943395,,3.7841837197791888,2.767076455504908,,"[3.6464393446710153, 3.2037016960573483, 2.9219280948873623, 2.070950594454669, 3.065957320949175, 2.9219280948873623, 2.6577174691301484, 2.5577174691301483, 2.8841837197791884, 1.578897902987479, 1.8166422780956524, 1.3917601481809734, 2.5219280948873624, 2.8709505944546683, 2.1709505944546685, 3.2709505944546686, 3.265957320949175, 3.303701696057348, 3.1414460711655217, 3.0709505944546684, 2.695461844238322, 2.1609640474436813, 2.219240704636849, 2.5954618442383217, 2.081496329528675, 2.6841837197791887, 3.001609497059027, 2.821928094887362, 1.6954618442383218, 2.939353872167201, 2.9709505944546684, 3.1037016960573482, 1.2917601481809735, 2.660964047443681, 3.0086949695628418, 2.7841837197791888, 2.9393538721672012, 3.5841837197791886, 3.6841837197791887, 3.0609640474436812, 2.728212945841001, 3.308694969562842, 2.8659573209491747, 3.165957320949175, 2.6577174691301484, 3.039353872167201, 3.021928094887362, 3.0709505944546684, 2.695461844238322, 2.695461844238322, 2.7414460711655217, 2.5609640474436812, 3.7841837197791888]"
GA,U-Trap,20,2,2002,False,False,530,66,53,1.2452830188679245,210,1.3917601481809734,2.668475409272505,,"[3.6464393446710153, 3.303701696057348, 3.3841837197791884, 3.2414460711655217, 2.319240704636849, 2.8086949695628416, 2.433206219346495, 3.046439344671015, 2.695461844238322, 2.8709505944546683, 2.2609640474436814, 3.139353872167201, 3.5841837197791886, 3.4841837197791885, 2.6577174691301484, 3.139353872167201, 2.460964047443681, 3.441446071165522, 2.260964047443681, 1.9166422780956522, 2.821928094887362, 1.3917601481809734, 1.8854752972273343, 2.5577174691301483, 1.9804820237218406, 2.5577174691301483, 2.3232196723355076, 2.0814963295286755, 1.8166422780956524, 3.046439344671015, 2.8709505944546687, 3.2659573209491746, 3.5086949695628413, 3.621928094887362, 2.1709505944546685, 1.6567796494470395, 2.181496329528675, 3.4037016960573485, 1.8709505944546687, 3.503701696057348, 3.403701696057348, 2.884183719779189, 2.5609640474436812, 2.808694969562842, 2.463865121950854, 2.319240704636849, 3.1841837197791887, 1.6567796494470395, 2.2567796494470396, 2.3232196723355076, 2.463865121950854, 2.1709505944546685, 2.319240704636849]"
GA,U-Trap,20,2,2008,False,False,530,86,53,1.6226415094339623,30,1.1540157730728,2.6582320468703324,,"[3.9841837197791885, 2.695461844238322, 3.5414460711655216, 1.578897902987479, 1.8166422780956524, 2.070950594454669, 1.5166422780956523, 2.5609640474436812, 3.208694969562842, 2.1709505944546685, 1.1540157730728, 3.1037016960573482, 1.9804820237218406, 1.6567796494470395, 2.1393538721672005, 2.4414460711655215, 2.1709505944546685, 2.5577174691301483, 3.384183719779189, 2.5577174691301483, 3.2414460711655217, 2.484183719779189, 2.1709505944546685, 3.0016094970590275, 3.3841837197791893, 2.1709505944546685, 1.6567796494470395, 2.3192407046368486, 2.2464393446710154, 3.3414460711655214, 3.1414460711655217, 2.460964047443681, 3.108694969562842, 2.5219280948873624, 3.3464393446710154, 2.765957320949175, 3.065957320949175, 2.9219280948873623, 3.1464393446710153, 2.9219280948873623, 2.219240704636849, 3.2659573209491746, 2.6709505944546685, 2.9464393446710155, 3.0086949695628418, 2.1709505944546685, 2.965957320949175, 2.939353872167201, 2.695461844238322, 3.2841837197791888, 3.003701696057348, 3.003701696057348, 3.0016094970590275]"
